id,instance,goal,result,duration,verdict,corr_result
1,aba_500_0.1_5_5_2.aba,s278,,600.0,TIMEOUT,NO
2,aba_25_0.1_5_10_8.aba,s2,YES,0.19,corr,YES
3,aba_500_0.3_5_5_5.aba,s330,,600.0,TIMEOUT,NO
4,aba_25_0.1_5_10_9.aba,s2,YES,0.22,corr,YES
5,aba_100_0.1_10_5_2.aba,s4,,600.0,TIMEOUT,NO
6,aba_25_0.1_10_10_1.aba,s1,NO,0.12,corr,NO
7,aba_500_0.1_10_10_8.aba,s370,YES,18.92,corr,YES
8,aba_100_0.3_5_10_6.aba,s95,YES,1.71,corr,YES
9,aba_5000_0.1_10_10_0.aba,s3688,,600.0,TIMEOUT,NO
10,aba_100_0.1_10_10_5.aba,s55,YES,3.95,corr,YES
11,aba_500_0.3_10_10_2.aba,s288,,600.0,TIMEOUT,NO
12,aba_500_0.3_10_10_6.aba,s301,,600.0,TIMEOUT,NO
13,aba_100_0.3_10_5_0.aba,s16,,600.0,TIMEOUT,YES
14,aba_5000_0.1_5_5_1.aba,s1655,,600.0,TIMEOUT,NO
15,aba_100_0.1_5_5_0.aba,s8,YES,1.1,corr,YES
16,aba_100_0.3_5_10_2.aba,s15,,600.0,TIMEOUT,NO
17,aba_100_0.3_5_5_4.aba,s59,YES,88.4,corr,YES
18,aba_2000_0.3_10_10_5.aba,s1410,,600.0,TIMEOUT,YES
19,aba_25_0.1_10_5_8.aba,s13,,600.0,TIMEOUT,NO
20,aba_5000_0.3_10_10_0.aba,s3055,,600.0,TIMEOUT,?
21,aba_2000_0.1_10_5_3.aba,s1837,,600.0,TIMEOUT,YES
22,aba_25_0.1_10_5_2.aba,s2,NO,1.37,corr,NO
23,aba_2000_0.3_10_10_4.aba,s1968,,600.0,TIMEOUT,NO
24,aba_25_0.3_5_10_3.aba,s1,NO,103.62,corr,NO
25,aba_500_0.1_5_10_5.aba,s488,YES,13.16,corr,YES
26,aba_100_0.1_5_5_9.aba,s36,YES,1.7,corr,YES
27,aba_5000_0.1_10_5_7.aba,s2541,,600.0,TIMEOUT,YES
28,aba_5000_0.1_5_5_5.aba,s1826,,600.0,TIMEOUT,NO
29,aba_5000_0.1_5_10_7.aba,s241,,600.0,TIMEOUT,YES
30,aba_2000_0.3_5_10_5.aba,s1338,YES,98.93,corr,YES
31,aba_2000_0.3_5_10_7.aba,s153,YES,173.07,corr,YES
32,aba_500_0.1_5_10_3.aba,s120,YES,15.12,corr,YES
33,aba_2000_0.3_10_10_3.aba,s1006,,600.0,TIMEOUT,NO
34,aba_5000_0.3_5_10_4.aba,s1088,,600.0,TIMEOUT,YES
35,aba_25_0.1_5_10_2.aba,s2,YES,1.23,corr,YES
36,aba_500_0.3_10_5_5.aba,s280,,600.0,TIMEOUT,YES
37,aba_100_0.1_5_10_7.aba,s1,,600.0,TIMEOUT,NO
38,aba_2000_0.1_5_5_7.aba,s130,,600.0,TIMEOUT,NO
39,aba_100_0.1_5_10_0.aba,s88,YES,1.12,corr,YES
40,aba_100_0.1_5_10_2.aba,s2,YES,0.65,corr,YES
41,aba_5000_0.1_5_10_4.aba,s2948,,600.0,TIMEOUT,YES
42,aba_100_0.1_10_5_0.aba,s78,,600.0,TIMEOUT,NO
43,aba_2000_0.1_5_5_1.aba,s849,,600.0,TIMEOUT,YES
44,aba_25_0.1_5_10_4.aba,s1,YES,0.17,corr,YES
45,aba_2000_0.1_5_10_2.aba,s159,YES,141.14,corr,YES
46,aba_25_0.3_5_5_6.aba,s7,YES,0.23,corr,YES
47,aba_5000_0.3_5_10_1.aba,s1714,,600.0,TIMEOUT,NO
48,aba_100_0.1_5_5_1.aba,s63,YES,2.76,inc,NO
49,aba_500_0.1_5_10_4.aba,s20,YES,4.41,corr,YES
50,aba_25_0.3_10_10_5.aba,s19,,600.0,TIMEOUT,NO
51,aba_5000_0.3_5_5_8.aba,s3456,,600.0,TIMEOUT,?
52,aba_2000_0.3_5_5_9.aba,s1266,,600.0,TIMEOUT,NO
53,aba_2000_0.3_10_5_0.aba,s1804,,600.0,TIMEOUT,YES
54,aba_5000_0.3_5_10_6.aba,s1091,,600.0,TIMEOUT,NO
55,aba_2000_0.1_5_10_4.aba,s97,YES,80.3,corr,YES
56,aba_25_0.1_10_5_7.aba,s22,,600.0,TIMEOUT,NO
57,aba_25_0.1_10_5_3.aba,s18,,600.0,TIMEOUT,NO
58,aba_25_0.3_10_5_6.aba,s5,,600.0,TIMEOUT,NO
59,aba_2000_0.3_10_5_7.aba,s1163,,600.0,TIMEOUT,YES
60,aba_25_0.1_5_5_4.aba,s1,YES,0.17,corr,YES
61,aba_25_0.3_5_10_5.aba,s19,NO,3.89,corr,NO
62,aba_2000_0.1_5_10_7.aba,s198,YES,84.08,corr,YES
63,aba_100_0.3_5_10_7.aba,s34,,600.0,TIMEOUT,NO
64,aba_5000_0.3_10_10_5.aba,s4437,,600.0,TIMEOUT,?
65,aba_25_0.1_10_5_6.aba,s10,YES,0.42,corr,YES
66,aba_25_0.3_5_5_5.aba,s14,,600.0,TIMEOUT,NO
67,aba_2000_0.1_5_5_8.aba,s596,,600.0,TIMEOUT,NO
68,aba_25_0.1_5_10_0.aba,s25,YES,0.91,corr,YES
69,aba_25_0.3_10_10_8.aba,s12,NO,42.72,corr,NO
70,aba_100_0.3_5_10_3.aba,s2,YES,0.6,corr,YES
71,aba_25_0.1_10_5_9.aba,s2,YES,0.18,corr,YES
72,aba_500_0.3_5_10_8.aba,s375,,600.0,TIMEOUT,NO
73,aba_5000_0.3_10_10_6.aba,s746,,600.0,TIMEOUT,?
74,aba_2000_0.1_10_5_9.aba,s39,,600.0,TIMEOUT,NO
75,aba_500_0.1_5_10_1.aba,s166,YES,23.46,corr,YES
76,aba_25_0.1_5_10_5.aba,s2,YES,0.22,corr,YES
77,aba_25_0.3_10_5_9.aba,s21,,600.0,TIMEOUT,NO
78,aba_25_0.1_10_10_3.aba,s15,YES,113.55,corr,YES
79,aba_100_0.3_10_5_3.aba,s93,,600.0,TIMEOUT,NO
80,aba_5000_0.3_5_5_3.aba,s1482,,600.0,TIMEOUT,?
81,aba_500_0.3_5_10_2.aba,s274,YES,17.23,corr,YES
82,aba_25_0.1_10_5_1.aba,s16,,600.0,TIMEOUT,NO
83,aba_25_0.1_10_5_4.aba,s13,,600.0,TIMEOUT,NO
84,aba_25_0.3_5_5_4.aba,s1,NO,594.03,corr,NO
85,aba_500_0.1_5_10_2.aba,s24,YES,4.59,corr,YES
86,aba_5000_0.3_5_5_1.aba,s1538,,600.0,TIMEOUT,?
87,aba_500_0.1_10_5_2.aba,s129,,600.0,TIMEOUT,NO
88,aba_2000_0.3_5_10_3.aba,s1175,YES,338.82,corr,YES
89,aba_25_0.3_5_10_0.aba,s3,YES,0.21,corr,YES
90,aba_500_0.1_5_5_7.aba,s464,YES,27.68,corr,YES
91,aba_25_0.3_5_10_9.aba,s5,YES,0.13,corr,YES
92,aba_5000_0.3_5_10_5.aba,s1185,,600.0,TIMEOUT,NO
93,aba_2000_0.1_5_5_4.aba,s1357,YES,317.89,corr,YES
94,aba_2000_0.3_5_5_6.aba,s391,,600.0,TIMEOUT,YES
