id,instance,goal,result,duration,verdict,corr_result
1,aba_500_0.1_5_5_2.aba,s278,NO,0.13,corr,NO
2,aba_25_0.1_5_10_8.aba,s2,YES,0.08,corr,YES
3,aba_500_0.3_5_5_5.aba,s330,NO,0.15,corr,NO
4,aba_25_0.1_5_10_9.aba,s2,YES,0.07,corr,YES
5,aba_100_0.1_10_5_2.aba,s4,NO,0.09,corr,NO
6,aba_25_0.1_10_10_1.aba,s1,NO,0.14,corr,NO
7,aba_500_0.1_10_10_8.aba,s370,YES,0.24,corr,YES
8,aba_100_0.3_5_10_6.aba,s95,YES,0.08,corr,YES
9,aba_5000_0.1_10_10_0.aba,s3688,NO,8.42,corr,NO
10,aba_100_0.1_10_10_5.aba,s55,YES,0.1,corr,YES
11,aba_500_0.3_10_10_2.aba,s288,NO,0.31,corr,NO
12,aba_500_0.3_10_10_6.aba,s301,NO,0.28,corr,NO
13,aba_100_0.3_10_5_0.aba,s16,YES,0.09,corr,YES
14,aba_5000_0.1_5_5_1.aba,s1655,NO,4.92,corr,NO
15,aba_100_0.1_5_5_0.aba,s8,YES,0.11,corr,YES
16,aba_100_0.3_5_10_2.aba,s15,NO,0.09,corr,NO
17,aba_100_0.3_5_5_4.aba,s59,YES,0.08,corr,YES
18,aba_2000_0.3_10_10_5.aba,s1410,YES,7.81,corr,YES
19,aba_25_0.1_10_5_8.aba,s13,NO,0.08,corr,NO
20,aba_5000_0.3_10_10_0.aba,s3055,,600.0,TIMEOUT,?
21,aba_2000_0.1_10_5_3.aba,s1837,YES,1.88,corr,YES
22,aba_25_0.1_10_5_2.aba,s2,NO,0.09,corr,NO
23,aba_2000_0.3_10_10_4.aba,s1968,NO,21.8,corr,NO
24,aba_25_0.3_5_10_3.aba,s1,NO,0.1,corr,NO
25,aba_500_0.1_5_10_5.aba,s488,YES,0.15,corr,YES
26,aba_100_0.1_5_5_9.aba,s36,YES,0.08,corr,YES
27,aba_5000_0.1_10_5_7.aba,s2541,YES,8.69,corr,YES
28,aba_5000_0.1_5_5_5.aba,s1826,NO,6.4,corr,NO
29,aba_5000_0.1_5_10_7.aba,s241,YES,3.57,corr,YES
30,aba_2000_0.3_5_10_5.aba,s1338,YES,0.55,corr,YES
31,aba_2000_0.3_5_10_7.aba,s153,YES,0.58,corr,YES
32,aba_500_0.1_5_10_3.aba,s120,YES,0.15,corr,YES
33,aba_2000_0.3_10_10_3.aba,s1006,NO,2.27,corr,NO
34,aba_5000_0.3_5_10_4.aba,s1088,YES,2.45,corr,YES
35,aba_25_0.1_5_10_2.aba,s2,YES,0.07,corr,YES
36,aba_500_0.3_10_5_5.aba,s280,YES,0.21,corr,YES
37,aba_100_0.1_5_10_7.aba,s1,NO,0.08,corr,NO
38,aba_2000_0.1_5_5_7.aba,s130,NO,0.71,corr,NO
39,aba_100_0.1_5_10_0.aba,s88,YES,0.08,corr,YES
40,aba_100_0.1_5_10_2.aba,s2,YES,0.08,corr,YES
41,aba_5000_0.1_5_10_4.aba,s2948,YES,3.56,corr,YES
42,aba_100_0.1_10_5_0.aba,s78,NO,0.1,corr,NO
43,aba_2000_0.1_5_5_1.aba,s849,YES,0.5,corr,YES
44,aba_25_0.1_5_10_4.aba,s1,YES,0.08,corr,YES
45,aba_2000_0.1_5_10_2.aba,s159,YES,0.7,corr,YES
46,aba_25_0.3_5_5_6.aba,s7,YES,0.08,corr,YES
47,aba_5000_0.3_5_10_1.aba,s1714,NO,2.38,corr,NO
48,aba_100_0.1_5_5_1.aba,s63,NO,0.08,corr,NO
49,aba_500_0.1_5_10_4.aba,s20,YES,0.15,corr,YES
50,aba_25_0.3_10_10_5.aba,s19,NO,0.08,corr,NO
51,aba_5000_0.3_5_5_8.aba,s3456,,600.0,TIMEOUT,?
52,aba_2000_0.3_5_5_9.aba,s1266,NO,270.44,corr,NO
53,aba_2000_0.3_10_5_0.aba,s1804,YES,1.25,corr,YES
54,aba_5000_0.3_5_10_6.aba,s1091,NO,2.44,corr,NO
55,aba_2000_0.1_5_10_4.aba,s97,YES,0.7,corr,YES
56,aba_25_0.1_10_5_7.aba,s22,NO,0.08,corr,NO
57,aba_25_0.1_10_5_3.aba,s18,NO,0.08,corr,NO
58,aba_25_0.3_10_5_6.aba,s5,NO,0.07,corr,NO
59,aba_2000_0.3_10_5_7.aba,s1163,YES,1.2,corr,YES
60,aba_25_0.1_5_5_4.aba,s1,YES,0.07,corr,YES
61,aba_25_0.3_5_10_5.aba,s19,NO,0.07,corr,NO
62,aba_2000_0.1_5_10_7.aba,s198,YES,0.7,corr,YES
63,aba_100_0.3_5_10_7.aba,s34,NO,0.08,corr,NO
64,aba_5000_0.3_10_10_5.aba,s4437,,600.0,TIMEOUT,?
65,aba_25_0.1_10_5_6.aba,s10,YES,0.08,corr,YES
66,aba_25_0.3_5_5_5.aba,s14,NO,0.08,corr,NO
67,aba_2000_0.1_5_5_8.aba,s596,NO,0.53,corr,NO
68,aba_25_0.1_5_10_0.aba,s25,YES,0.08,corr,YES
69,aba_25_0.3_10_10_8.aba,s12,NO,0.08,corr,NO
70,aba_100_0.3_5_10_3.aba,s2,YES,0.09,corr,YES
71,aba_25_0.1_10_5_9.aba,s2,YES,0.09,corr,YES
72,aba_500_0.3_5_10_8.aba,s375,NO,0.14,corr,NO
73,aba_5000_0.3_10_10_6.aba,s746,,600.0,TIMEOUT,?
74,aba_2000_0.1_10_5_9.aba,s39,NO,1.99,corr,NO
75,aba_500_0.1_5_10_1.aba,s166,YES,0.17,corr,YES
76,aba_25_0.1_5_10_5.aba,s2,YES,0.15,corr,YES
77,aba_25_0.3_10_5_9.aba,s21,NO,0.25,corr,NO
78,aba_25_0.1_10_10_3.aba,s15,YES,0.19,corr,YES
79,aba_100_0.3_10_5_3.aba,s93,NO,0.11,corr,NO
80,aba_5000_0.3_5_5_3.aba,s1482,,600.0,TIMEOUT,?
81,aba_500_0.3_5_10_2.aba,s274,YES,0.17,corr,YES
82,aba_25_0.1_10_5_1.aba,s16,NO,0.08,corr,NO
83,aba_25_0.1_10_5_4.aba,s13,NO,0.08,corr,NO
84,aba_25_0.3_5_5_4.aba,s1,NO,0.1,corr,NO
85,aba_500_0.1_5_10_2.aba,s24,YES,0.19,corr,YES
86,aba_5000_0.3_5_5_1.aba,s1538,,600.0,TIMEOUT,?
87,aba_500_0.1_10_5_2.aba,s129,NO,0.44,corr,NO
88,aba_2000_0.3_5_10_3.aba,s1175,YES,0.63,corr,YES
89,aba_25_0.3_5_10_0.aba,s3,YES,0.08,corr,YES
90,aba_500_0.1_5_5_7.aba,s464,YES,0.14,corr,YES
91,aba_25_0.3_5_10_9.aba,s5,YES,0.07,corr,YES
92,aba_5000_0.3_5_10_5.aba,s1185,NO,2.55,corr,NO
93,aba_2000_0.1_5_5_4.aba,s1357,YES,0.55,corr,YES
94,aba_2000_0.3_5_5_6.aba,s391,YES,123.88,corr,YES
95,aba_2000_0.3_10_5_1.aba,s1941,YES,1.28,corr,YES
96,aba_5000_0.1_5_10_0.aba,s402,NO,3.7,corr,NO
97,aba_500_0.3_5_5_6.aba,s475,NO,0.15,corr,NO
98,aba_100_0.1_10_10_8.aba,s1,YES,0.09,corr,YES
99,aba_5000_0.3_10_5_0.aba,s4558,YES,7.34,corr,YES
100,aba_25_0.3_5_5_2.aba,s3,NO,0.09,corr,NO
101,aba_100_0.1_5_10_9.aba,s5,YES,0.08,corr,YES
102,aba_5000_0.3_5_5_6.aba,s3728,,600.0,TIMEOUT,?
103,aba_500_0.1_5_5_6.aba,s386,NO,0.16,corr,NO
104,aba_500_0.1_10_10_6.aba,s228,NO,0.25,corr,NO
105,aba_100_0.3_5_5_2.aba,s46,NO,0.08,corr,NO
106,aba_25_0.3_5_5_7.aba,s11,NO,0.08,corr,NO
107,aba_500_0.1_10_10_0.aba,s42,NO,0.25,corr,NO
108,aba_5000_0.3_5_10_2.aba,s1215,YES,2.52,corr,YES
109,aba_100_0.1_10_5_1.aba,s39,NO,0.1,corr,NO
110,aba_500_0.3_5_5_3.aba,s281,NO,0.16,corr,NO
111,aba_2000_0.1_10_5_5.aba,s116,NO,1.76,corr,NO
112,aba_500_0.1_5_5_3.aba,s488,NO,0.19,corr,NO
113,aba_25_0.3_10_10_6.aba,s5,YES,0.1,corr,YES
114,aba_100_0.1_5_10_1.aba,s8,YES,0.08,corr,YES
115,aba_500_0.1_10_5_4.aba,s37,NO,0.28,corr,NO
116,aba_2000_0.3_5_10_4.aba,s528,YES,0.58,corr,YES
117,aba_500_0.1_10_5_0.aba,s382,NO,0.27,corr,NO
118,aba_2000_0.3_5_5_1.aba,s1864,,600.0,TIMEOUT,NO
119,aba_25_0.1_5_10_6.aba,s22,YES,0.08,corr,YES
120,aba_500_0.1_5_5_1.aba,s253,NO,0.16,corr,NO
121,aba_5000_0.1_5_10_2.aba,s292,YES,3.7,corr,YES
122,aba_25_0.1_10_10_2.aba,s11,NO,0.08,corr,NO
123,aba_2000_0.1_5_10_5.aba,s228,YES,0.7,corr,YES
124,aba_100_0.3_5_5_8.aba,s93,NO,0.1,corr,NO
125,aba_5000_0.3_5_10_9.aba,s1002,YES,2.49,corr,YES
126,aba_500_0.1_5_5_4.aba,s290,YES,0.13,corr,YES
127,aba_2000_0.1_10_5_6.aba,s834,YES,1.79,corr,YES
128,aba_2000_0.1_10_10_5.aba,s1795,NO,1.58,corr,NO
129,aba_5000_0.1_10_10_4.aba,s1930,NO,9.52,corr,NO
130,aba_100_0.3_10_5_5.aba,s1,NO,0.09,corr,NO
131,aba_500_0.3_10_5_7.aba,s176,YES,0.22,corr,YES
132,aba_100_0.1_5_10_4.aba,s10,YES,0.08,corr,YES
133,aba_500_0.3_10_5_0.aba,s445,YES,0.22,corr,YES
