id,instance,goal,result,duration,verdict,corr_result
1,aba_500_0.1_5_5_2.aba,s278,NO,6.1,corr,NO
2,aba_25_0.1_5_10_8.aba,s2,YES,0.25,corr,YES
3,aba_500_0.3_5_5_5.aba,s330,NO,50.64,corr,NO
4,aba_25_0.1_5_10_9.aba,s2,YES,0.13,corr,YES
5,aba_100_0.1_10_5_2.aba,s4,NO,4.07,corr,NO
6,aba_25_0.1_10_10_1.aba,s1,NO,0.27,corr,NO
7,aba_500_0.1_10_10_8.aba,s370,YES,6.56,corr,YES
8,aba_100_0.3_5_10_6.aba,s95,YES,0.57,corr,YES
9,aba_5000_0.1_10_10_0.aba,s3688,,600.0,TIMEOUT,NO
10,aba_100_0.1_10_10_5.aba,s55,YES,1.7,corr,YES
11,aba_500_0.3_10_10_2.aba,s288,,600.0,TIMEOUT,NO
12,aba_500_0.3_10_10_6.aba,s301,,600.0,TIMEOUT,NO
13,aba_100_0.3_10_5_0.aba,s16,NO,1.26,inc,YES
14,aba_5000_0.1_5_5_1.aba,s1655,,600.0,TIMEOUT,NO
15,aba_100_0.1_5_5_0.aba,s8,YES,0.22,corr,YES
16,aba_100_0.3_5_10_2.aba,s15,NO,0.45,corr,NO
17,aba_100_0.3_5_5_4.aba,s59,NO,1.74,inc,YES
18,aba_2000_0.3_10_10_5.aba,s1410,,600.0,TIMEOUT,YES
19,aba_25_0.1_10_5_8.aba,s13,NO,0.4,corr,NO
20,aba_5000_0.3_10_10_0.aba,s3055,,600.0,TIMEOUT,?
21,aba_2000_0.1_10_5_3.aba,s1837,,600.0,TIMEOUT,YES
22,aba_25_0.1_10_5_2.aba,s2,NO,0.12,corr,NO
23,aba_2000_0.3_10_10_4.aba,s1968,,600.0,TIMEOUT,NO
24,aba_25_0.3_5_10_3.aba,s1,NO,0.37,corr,NO
25,aba_500_0.1_5_10_5.aba,s488,YES,3.45,corr,YES
26,aba_100_0.1_5_5_9.aba,s36,YES,0.64,corr,YES
27,aba_5000_0.1_10_5_7.aba,s2541,,600.0,TIMEOUT,YES
28,aba_5000_0.1_5_5_5.aba,s1826,,600.0,TIMEOUT,NO
29,aba_5000_0.1_5_10_7.aba,s241,YES,176.28,corr,YES
30,aba_2000_0.3_5_10_5.aba,s1338,YES,17.0,corr,YES
31,aba_2000_0.3_5_10_7.aba,s153,YES,19.51,corr,YES
32,aba_500_0.1_5_10_3.aba,s120,YES,4.32,corr,YES
33,aba_2000_0.3_10_10_3.aba,s1006,NO,413.25,corr,NO
34,aba_5000_0.3_5_10_4.aba,s1088,NO,138.95,inc,YES
35,aba_25_0.1_5_10_2.aba,s2,YES,0.21,corr,YES
36,aba_500_0.3_10_5_5.aba,s280,,600.0,TIMEOUT,YES
37,aba_100_0.1_5_10_7.aba,s1,NO,0.81,corr,NO
38,aba_2000_0.1_5_5_7.aba,s130,NO,55.01,corr,NO
39,aba_100_0.1_5_10_0.aba,s88,YES,0.55,corr,YES
40,aba_100_0.1_5_10_2.aba,s2,YES,0.2,corr,YES
41,aba_5000_0.1_5_10_4.aba,s2948,YES,327.58,corr,YES
42,aba_100_0.1_10_5_0.aba,s78,NO,491.9,corr,NO
43,aba_2000_0.1_5_5_1.aba,s849,NO,92.94,inc,YES
44,aba_25_0.1_5_10_4.aba,s1,YES,0.64,corr,YES
